epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8424,1.38665,4.12,1.5924,0.00506,0.24253,0.01411,0.00776,1.26213,4.47325,1.63841,5.831e-05,5.831e-05,5.831e-05
2,92.4315,1.3599,4.12495,1.55284,0.0089,0.33044,0.04801,0.02773,1.15979,4.37063,1.47938,0.000123713,0.000123713,0.000123713
3,135.792,1.36823,3.92159,1.51299,0.00953,0.38357,0.07452,0.04734,1.10678,4.27953,1.3992,0.000187797,0.000187797,0.000187797
4,178.714,1.22763,3.67274,1.42342,0.01041,0.45303,0.10393,0.0683,1.12933,4.16589,1.3638,0.000250561,0.000250561,0.000250561
5,221.258,1.3025,3.26559,1.44954,0.01224,0.55727,0.15803,0.10809,1.15157,4.00674,1.34112,0.000312005,0.000312005,0.000312005
6,264.496,1.31329,3.14713,1.5201,0.01361,0.60501,0.17832,0.12891,1.12811,3.84072,1.33112,0.00037213,0.00037213,0.00037213
7,308.278,1.32265,2.88216,1.49734,0.85321,0.02437,0.16101,0.10895,1.15833,3.7675,1.35622,0.000430936,0.000430936,0.000430936
8,352.268,1.27949,2.81904,1.47796,0.85141,0.04537,0.17312,0.11242,1.20445,3.77986,1.41288,0.000488422,0.000488422,0.000488422
9,396.461,1.34174,2.76378,1.45768,0.81018,0.10046,0.26681,0.15997,1.25908,3.59525,1.44186,0.000544589,0.000544589,0.000544589
10,440.312,1.22205,2.48107,1.3591,0.65623,0.19086,0.31045,0.19088,1.31552,3.37105,1.50078,0.000599436,0.000599436,0.000599436
11,484.894,1.16517,2.71345,1.41156,0.53732,0.2997,0.35093,0.22176,1.33249,3.10636,1.52629,0.000652964,0.000652964,0.000652964
12,528.263,1.30205,2.46574,1.44376,0.58844,0.36801,0.37094,0.25084,1.26002,3.06292,1.46429,0.000705172,0.000705172,0.000705172
13,571.82,1.22506,2.42099,1.39269,0.48473,0.44792,0.3935,0.25256,1.19456,3.23206,1.37807,0.00073404,0.00073404,0.00073404
14,615.842,1.29783,2.4403,1.36404,0.47886,0.46579,0.39899,0.24246,1.26078,2.97059,1.41583,0.000725793,0.000725793,0.000725793
15,661.724,1.15965,2.3058,1.3427,0.46702,0.52823,0.46239,0.28719,1.16841,3.11941,1.36152,0.000717546,0.000717546,0.000717546
16,705.788,1.28291,2.4204,1.50579,0.54805,0.55347,0.51504,0.33151,1.07718,3.09476,1.30988,0.000709299,0.000709299,0.000709299
17,749.083,1.19326,2.24496,1.37161,0.60442,0.55508,0.57793,0.37993,1.05762,3.00352,1.31757,0.000701053,0.000701053,0.000701053
18,792.492,1.20561,1.8996,1.32066,0.54747,0.64979,0.64215,0.42126,1.07588,2.86235,1.31412,0.000692806,0.000692806,0.000692806
19,836.067,1.14246,2.08949,1.34499,0.6532,0.67122,0.71896,0.48393,1.05725,2.5395,1.29769,0.000684559,0.000684559,0.000684559
20,879.758,1.20202,2.10914,1.39583,0.78739,0.68593,0.76913,0.50512,1.06042,2.12752,1.29955,0.000676313,0.000676313,0.000676313
21,923.807,1.14625,2.08671,1.36011,0.82279,0.66566,0.76479,0.50125,1.08887,2.08585,1.31553,0.000668066,0.000668066,0.000668066
22,968.678,1.13726,2.13775,1.31183,0.75889,0.72334,0.79454,0.52263,1.00775,1.9787,1.25737,0.000659819,0.000659819,0.000659819
23,1013.11,1.07724,2.12492,1.35448,0.74532,0.7669,0.78449,0.52581,0.96741,2.03981,1.25558,0.000651573,0.000651573,0.000651573
