epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6911,1.74955,4.14466,1.80628,0.0047,0.37798,0.00683,0.00266,1.56974,4.09017,1.80563,0,0,0
2,23.6069,1.49985,3.88184,1.68035,0.00496,0.40655,0.00727,0.00271,1.53382,4.07544,1.78408,9.901e-06,9.901e-06,9.901e-06
3,32.4399,1.7272,3.97359,1.834,0.00498,0.40655,0.00887,0.00317,1.46106,4.05389,1.7353,1.9604e-05,1.9604e-05,1.9604e-05
4,41.0294,1.67489,4.01821,1.73894,0.00484,0.39405,0.00914,0.00368,1.34471,4.03158,1.65131,2.9109e-05,2.9109e-05,2.9109e-05
5,49.5359,1.54817,3.90019,1.66306,0.00517,0.41905,0.0129,0.00503,1.22204,4.02214,1.55603,3.8416e-05,3.8416e-05,3.8416e-05
6,57.9364,1.50886,3.7657,1.72339,0.00508,0.40655,0.01379,0.00653,1.15332,3.99574,1.48586,4.7525e-05,4.7525e-05,4.7525e-05
7,66.28,1.37179,3.92275,1.56894,0.00574,0.46012,0.02741,0.01236,1.09013,3.97648,1.4184,5.6436e-05,5.6436e-05,5.6436e-05
8,75.2642,1.34191,3.90023,1.4737,0.00678,0.52679,0.05831,0.02606,1.02175,3.95428,1.3444,6.5149e-05,6.5149e-05,6.5149e-05
9,83.905,1.26084,3.76879,1.4356,0.00766,0.58512,0.07661,0.04507,0.97766,3.91379,1.29266,7.3664e-05,7.3664e-05,7.3664e-05
10,92.3296,1.32191,3.79864,1.44401,0.00907,0.66429,0.10442,0.06267,0.9579,3.83528,1.23477,8.1981e-05,8.1981e-05,8.1981e-05
11,101.203,1.22815,3.74729,1.3472,0.00933,0.68095,0.1145,0.07053,0.92392,3.76137,1.17947,9.01e-05,9.01e-05,9.01e-05
12,109.492,1.01897,3.5782,1.24862,0.00957,0.69345,0.12764,0.08488,0.87433,3.70116,1.12874,9.8021e-05,9.8021e-05,9.8021e-05
13,117.892,1.04542,3.50418,1.23891,0.01001,0.71012,0.13693,0.09843,0.7952,3.6629,1.07235,0.000105744,0.000105744,0.000105744
14,126.249,0.86451,3.37093,1.16682,0.01061,0.75536,0.14974,0.11344,0.72762,3.63098,1.01026,0.000113269,0.000113269,0.000113269
15,135.052,0.89225,3.32638,1.12344,0.01072,0.75536,0.16943,0.12742,0.66275,3.59772,0.96433,0.000120596,0.000120596,0.000120596
16,143.456,0.74099,3.16766,1.07618,0.01075,0.75536,0.18574,0.14303,0.61032,3.55073,0.92171,0.000127725,0.000127725,0.000127725
17,151.843,0.74457,3.10533,1.06434,0.01104,0.78393,0.20137,0.15857,0.56677,3.51295,0.89762,0.000134656,0.000134656,0.000134656
18,160.129,0.8059,3.14969,1.04412,0.01104,0.78393,0.20137,0.15857,0.56677,3.51295,0.89762,0.000141389,0.000141389,0.000141389
19,168.552,0.78793,2.87462,1.05972,0.01113,0.78393,0.23537,0.20003,0.53811,3.47146,0.87096,0.000147924,0.000147924,0.000147924
20,176.948,0.75181,2.98216,1.08434,0.01113,0.78393,0.23537,0.20003,0.53811,3.47146,0.87096,0.000154261,0.000154261,0.000154261
21,185.484,0.74524,2.90643,1.07903,0.01145,0.79643,0.29198,0.25672,0.54164,3.41397,0.86204,0.0001604,0.0001604,0.0001604
22,194.575,0.64493,2.64606,0.99453,0.01145,0.79643,0.29198,0.25672,0.54164,3.41397,0.86204,0.000166341,0.000166341,0.000166341
23,203.033,0.72458,2.71805,0.97306,0.01181,0.82976,0.32094,0.28732,0.537,3.33086,0.8505,0.000172084,0.000172084,0.000172084
24,211.809,0.6169,2.5586,0.96406,0.01181,0.82976,0.32094,0.28732,0.537,3.33086,0.8505,0.000177629,0.000177629,0.000177629
25,220.801,0.63262,2.50136,0.97539,0.97258,0.07901,0.35975,0.31913,0.52499,3.22813,0.83839,0.000182976,0.000182976,0.000182976
26,229.141,0.58537,2.45459,0.94111,0.97258,0.07901,0.35975,0.31913,0.52499,3.22813,0.83839,0.000188125,0.000188125,0.000188125
27,237.657,0.61702,2.41113,0.94991,1,0.06315,0.41607,0.3653,0.508,3.12899,0.83236,0.000193076,0.000193076,0.000193076
28,246.229,0.64714,2.34597,0.92141,1,0.06315,0.41607,0.3653,0.508,3.12899,0.83236,0.000197829,0.000197829,0.000197829
29,255.641,0.6104,2.24544,0.98739,1,0.0879,0.49052,0.4327,0.47871,3.04304,0.82489,0.000202384,0.000202384,0.000202384
30,264.313,0.52787,2.15722,0.93935,1,0.0879,0.49052,0.4327,0.47871,3.04304,0.82489,0.000206741,0.000206741,0.000206741
31,272.925,0.69471,2.05376,0.9479,1,0.09702,0.54819,0.5028,0.45232,2.97107,0.81934,0.0002109,0.0002109,0.0002109
32,281.42,0.53253,1.88901,0.89545,1,0.09702,0.54819,0.5028,0.45232,2.97107,0.81934,0.000214861,0.000214861,0.000214861
33,290.178,0.47769,1.90174,0.89158,0.99939,0.21195,0.58549,0.53181,0.42375,2.91782,0.81492,0.000218624,0.000218624,0.000218624
34,298.768,0.57977,1.85469,0.93989,0.99939,0.21195,0.58549,0.53181,0.42375,2.91782,0.81492,0.000222189,0.000222189,0.000222189
35,307.39,0.47834,1.87717,0.90067,1,0.28518,0.58945,0.5337,0.42093,2.85647,0.81274,0.000225556,0.000225556,0.000225556
36,316.866,0.56123,1.93147,0.90749,1,0.28518,0.58945,0.5337,0.42093,2.85647,0.81274,0.000228725,0.000228725,0.000228725
37,325.545,0.55392,1.96661,0.93942,1,0.29883,0.58795,0.547,0.42511,2.80514,0.81775,0.000231696,0.000231696,0.000231696
38,334.384,0.51856,1.75596,0.91956,1,0.29883,0.58795,0.547,0.42511,2.80514,0.81775,0.000234469,0.000234469,0.000234469
39,343.197,0.57799,1.66248,0.92494,0.99986,0.30669,0.61327,0.57552,0.43258,2.74281,0.82172,0.000237044,0.000237044,0.000237044
40,351.84,0.49457,1.65936,0.88242,0.99986,0.30669,0.61327,0.57552,0.43258,2.74281,0.82172,0.000239421,0.000239421,0.000239421
41,360.73,0.5337,1.479,0.91946,1,0.30041,0.63568,0.58707,0.4185,2.66885,0.82162,0.0002416,0.0002416,0.0002416
42,369.668,0.41818,1.44722,0.88839,1,0.30041,0.63568,0.58707,0.4185,2.66885,0.82162,0.000243581,0.000243581,0.000243581
43,378.845,0.40818,1.45437,0.87518,1,0.3006,0.67863,0.63134,0.39126,2.60888,0.81452,0.000245364,0.000245364,0.000245364
44,387.712,0.48288,1.41955,0.89834,1,0.3006,0.67863,0.63134,0.39126,2.60888,0.81452,0.000246949,0.000246949,0.000246949
45,396.496,0.41104,1.49258,0.86841,0.95096,0.30681,0.76201,0.72295,0.36395,2.54553,0.8112,0.000248336,0.000248336,0.000248336
46,405.275,0.48521,1.33145,0.93538,0.95096,0.30681,0.76201,0.72295,0.36395,2.54553,0.8112,0.000249525,0.000249525,0.000249525
47,414.149,0.3932,1.41153,0.85813,0.8825,0.39846,0.80964,0.77693,0.36233,2.44789,0.81085,0.000250516,0.000250516,0.000250516
48,423.104,0.55063,1.29876,0.91879,0.8825,0.39846,0.80964,0.77693,0.36233,2.44789,0.81085,0.000251309,0.000251309,0.000251309
49,432.133,0.53152,1.37848,0.90553,0.82121,0.47798,0.82197,0.77618,0.36536,2.30759,0.8107,0.000251904,0.000251904,0.000251904
50,441.211,0.42806,1.11635,0.89181,0.82121,0.47798,0.82197,0.77618,0.36536,2.30759,0.8107,0.000252301,0.000252301,0.000252301
51,450.333,0.49394,1.32724,0.84569,0.8284,0.56216,0.85844,0.82447,0.3521,2.1469,0.80608,0.0002525,0.0002525,0.0002525
52,459.274,0.40313,1.26468,0.87514,0.8284,0.56216,0.85844,0.82447,0.3521,2.1469,0.80608,0.000252501,0.000252501,0.000252501
53,468.346,0.41652,1.25774,0.84128,0.8284,0.56216,0.85844,0.82447,0.3521,2.1469,0.80608,0.000252304,0.000252304,0.000252304
54,477.604,0.50655,1.2611,0.9237,0.79584,0.64554,0.87297,0.83243,0.32904,1.99295,0.80068,0.000251909,0.000251909,0.000251909
55,486.643,0.42048,1.21715,0.85968,0.79584,0.64554,0.87297,0.83243,0.32904,1.99295,0.80068,0.000251316,0.000251316,0.000251316
56,495.99,0.46351,1.13768,0.8636,0.79584,0.64554,0.87297,0.83243,0.32904,1.99295,0.80068,0.000250525,0.000250525,0.000250525
57,505.646,0.41559,1.18774,0.83505,0.79344,0.69702,0.88153,0.84855,0.32075,1.88195,0.79893,0.000249536,0.000249536,0.000249536
58,514.856,0.4482,1.1276,0.87617,0.79344,0.69702,0.88153,0.84855,0.32075,1.88195,0.79893,0.000248349,0.000248349,0.000248349
59,523.917,0.35299,1.03982,0.83552,0.79344,0.69702,0.88153,0.84855,0.32075,1.88195,0.79893,0.000246964,0.000246964,0.000246964
60,533.259,0.41016,1.15969,0.90906,0.82827,0.6905,0.89105,0.8519,0.3136,1.78019,0.79859,0.000245381,0.000245381,0.000245381
61,542.376,0.39374,1.08624,0.85317,0.82827,0.6905,0.89105,0.8519,0.3136,1.78019,0.79859,0.0002436,0.0002436,0.0002436
62,551.547,0.39884,1.07164,0.86984,0.82827,0.6905,0.89105,0.8519,0.3136,1.78019,0.79859,0.000241621,0.000241621,0.000241621
63,561.257,0.42193,1.05432,0.82889,0.81063,0.66239,0.90016,0.86468,0.31475,1.65474,0.79574,0.000239444,0.000239444,0.000239444
64,570.224,0.45671,1.1046,0.86742,0.81063,0.66239,0.90016,0.86468,0.31475,1.65474,0.79574,0.000237069,0.000237069,0.000237069
65,579.429,0.37633,0.96498,0.85917,0.81063,0.66239,0.90016,0.86468,0.31475,1.65474,0.79574,0.000234496,0.000234496,0.000234496
66,588.698,0.43861,1.10333,0.8414,0.87567,0.6309,0.91516,0.87841,0.31992,1.4955,0.79194,0.000231725,0.000231725,0.000231725
67,597.773,0.40665,1.01283,0.83702,0.87567,0.6309,0.91516,0.87841,0.31992,1.4955,0.79194,0.000228756,0.000228756,0.000228756
68,607.366,0.35658,0.87559,0.84315,0.87567,0.6309,0.91516,0.87841,0.31992,1.4955,0.79194,0.000225589,0.000225589,0.000225589
69,617.05,0.41247,1.00195,0.84461,0.94973,0.63973,0.93247,0.9033,0.30751,1.36801,0.78773,0.000222224,0.000222224,0.000222224
70,626.406,0.37212,1.02689,0.87029,0.94973,0.63973,0.93247,0.9033,0.30751,1.36801,0.78773,0.000218661,0.000218661,0.000218661
71,635.518,0.39192,0.97793,0.86091,0.94973,0.63973,0.93247,0.9033,0.30751,1.36801,0.78773,0.0002149,0.0002149,0.0002149
72,644.804,0.38816,0.96312,0.84621,0.79749,0.74042,0.94443,0.91294,0.29644,1.26254,0.78514,0.000210941,0.000210941,0.000210941
73,653.977,0.37676,0.88669,0.84213,0.79749,0.74042,0.94443,0.91294,0.29644,1.26254,0.78514,0.000206784,0.000206784,0.000206784
74,663.315,0.41969,1.00871,0.84188,0.79749,0.74042,0.94443,0.91294,0.29644,1.26254,0.78514,0.000202429,0.000202429,0.000202429
75,672.43,0.35597,0.90791,0.86216,0.79646,0.82479,0.95079,0.9241,0.28573,1.16321,0.78401,0.000197876,0.000197876,0.000197876
76,681.926,0.37207,0.84806,0.8719,0.79646,0.82479,0.95079,0.9241,0.28573,1.16321,0.78401,0.000193125,0.000193125,0.000193125
77,691.014,0.41001,0.94221,0.87426,0.79646,0.82479,0.95079,0.9241,0.28573,1.16321,0.78401,0.000188176,0.000188176,0.000188176
78,700.342,0.39478,0.95966,0.88396,0.84219,0.87881,0.96664,0.94509,0.27813,1.08444,0.7817,0.000183029,0.000183029,0.000183029
79,709.446,0.38121,0.81965,0.86002,0.84219,0.87881,0.96664,0.94509,0.27813,1.08444,0.7817,0.000177684,0.000177684,0.000177684
80,718.674,0.3523,0.84769,0.89042,0.84219,0.87881,0.96664,0.94509,0.27813,1.08444,0.7817,0.000172141,0.000172141,0.000172141
81,728.111,0.36028,0.85023,0.84483,0.90089,0.8957,0.97782,0.9599,0.26522,1.033,0.78047,0.0001664,0.0001664,0.0001664
82,737.333,0.38879,0.8427,0.83152,0.90089,0.8957,0.97782,0.9599,0.26522,1.033,0.78047,0.000160461,0.000160461,0.000160461
83,746.963,0.37627,0.89804,0.85278,0.90089,0.8957,0.97782,0.9599,0.26522,1.033,0.78047,0.000154324,0.000154324,0.000154324
84,756.273,0.35453,0.79201,0.82583,0.92642,0.92691,0.98878,0.96545,0.25272,0.9965,0.77874,0.000147989,0.000147989,0.000147989
85,765.379,0.41333,0.96481,0.89523,0.92642,0.92691,0.98878,0.96545,0.25272,0.9965,0.77874,0.000141456,0.000141456,0.000141456
86,774.702,0.31402,0.80652,0.84931,0.92642,0.92691,0.98878,0.96545,0.25272,0.9965,0.77874,0.000134725,0.000134725,0.000134725
87,783.916,0.36343,0.81916,0.84882,0.92642,0.92691,0.98878,0.96545,0.25272,0.9965,0.77874,0.000127796,0.000127796,0.000127796
88,793.275,0.39226,0.79762,0.83982,0.92815,0.92142,0.9915,0.97977,0.24644,0.95388,0.77747,0.000120669,0.000120669,0.000120669
89,802.957,0.29776,0.74543,0.84817,0.92815,0.92142,0.9915,0.97977,0.24644,0.95388,0.77747,0.000113344,0.000113344,0.000113344
90,811.973,0.38114,0.84406,0.83324,0.92815,0.92142,0.9915,0.97977,0.24644,0.95388,0.77747,0.000105821,0.000105821,0.000105821
91,821.022,0.39657,1.09225,0.84112,0.92815,0.92142,0.9915,0.97977,0.24644,0.95388,0.77747,9.81e-05,9.81e-05,9.81e-05
92,830.26,0.36386,1.07998,0.81293,0.94464,0.95955,0.995,0.98504,0.24425,0.91166,0.77753,9.0181e-05,9.0181e-05,9.0181e-05
93,839.44,0.34464,0.96583,0.89277,0.94464,0.95955,0.995,0.98504,0.24425,0.91166,0.77753,8.2064e-05,8.2064e-05,8.2064e-05
94,848.56,0.31953,0.9244,0.80951,0.94464,0.95955,0.995,0.98504,0.24425,0.91166,0.77753,7.3749e-05,7.3749e-05,7.3749e-05
95,857.712,0.28965,0.86492,0.84873,0.94464,0.95955,0.995,0.98504,0.24425,0.91166,0.77753,6.5236e-05,6.5236e-05,6.5236e-05
96,867.388,0.35168,0.92452,0.81093,0.9444,0.97013,0.995,0.98489,0.24173,0.88514,0.77759,5.6525e-05,5.6525e-05,5.6525e-05
97,876.319,0.31157,0.88501,0.82178,0.9444,0.97013,0.995,0.98489,0.24173,0.88514,0.77759,4.7616e-05,4.7616e-05,4.7616e-05
98,885.391,0.30459,0.88019,0.81797,0.9444,0.97013,0.995,0.98489,0.24173,0.88514,0.77759,3.8509e-05,3.8509e-05,3.8509e-05
99,894.439,0.30414,0.82805,0.81414,0.9444,0.97013,0.995,0.98489,0.24173,0.88514,0.77759,2.9204e-05,2.9204e-05,2.9204e-05
100,903.834,0.31908,0.88602,0.82718,0.93729,0.97684,0.995,0.98496,0.24065,0.84711,0.77738,1.9701e-05,1.9701e-05,1.9701e-05
