epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7662,1.38947,4.03034,1.58088,0.00625,0.25083,0.01514,0.0102,1.27058,4.30966,1.63046,7e-05,7e-05,7e-05
2,81.3958,1.34917,4.03575,1.52661,0.00893,0.33534,0.02569,0.01667,1.17707,4.19403,1.45895,0.000148515,0.000148515,0.000148515
3,119.265,1.35656,3.87871,1.47011,0.01047,0.40843,0.06574,0.04647,1.12338,4.09717,1.36943,0.000225446,0.000225446,0.000225446
4,158.123,1.21105,3.56294,1.40596,0.01059,0.47307,0.10434,0.07113,1.17158,4.02075,1.36988,0.000300793,0.000300793,0.000300793
5,196.618,1.27445,3.16741,1.4435,0.01105,0.54788,0.10501,0.07322,1.19431,3.9006,1.37558,0.000374556,0.000374556,0.000374556
6,234.459,1.2985,3.06492,1.48552,0.74837,0.08519,0.10705,0.06876,1.22449,3.66821,1.38648,0.000446735,0.000446735,0.000446735
7,272.522,1.26874,2.88167,1.46461,0.69639,0.11741,0.15161,0.104,1.21497,3.42819,1.40242,0.00051733,0.00051733,0.00051733
8,311.792,1.29313,2.87334,1.5029,0.64379,0.11,0.15687,0.11016,1.25257,3.43648,1.43215,0.000586341,0.000586341,0.000586341
9,350.747,1.33543,2.75637,1.46477,0.55876,0.19228,0.20497,0.11903,1.30656,3.38472,1.49187,0.000653768,0.000653768,0.000653768
10,390.252,1.2147,2.41874,1.39665,0.67502,0.14907,0.21312,0.13112,1.31831,3.26068,1.4944,0.000719611,0.000719611,0.000719611
11,430.781,1.22518,2.57269,1.44564,0.45974,0.3796,0.29547,0.18213,1.2712,3.03963,1.46261,0.00078387,0.00078387,0.00078387
12,470.766,1.29111,2.25621,1.45606,0.50843,0.42737,0.33308,0.19251,1.29395,3.12652,1.5319,0.000846545,0.000846545,0.000846545
13,511.053,1.19499,2.28328,1.35403,0.40051,0.40984,0.30251,0.17659,1.32908,3.75952,1.57708,0.0008812,0.0008812,0.0008812
14,551.772,1.29607,2.413,1.38796,0.38706,0.33554,0.27214,0.14576,1.35473,3.04257,1.57003,0.0008713,0.0008713,0.0008713
15,592.445,1.17082,2.2689,1.3481,0.43515,0.4538,0.35904,0.19929,1.27573,2.97069,1.56339,0.0008614,0.0008614,0.0008614
16,633.887,1.32309,2.43158,1.53279,0.51986,0.46219,0.40884,0.23913,1.22343,2.94719,1.49607,0.0008515,0.0008515,0.0008515
