epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2082.05,0.36739,0.81193,0.83106,0.96462,0.88369,0.96707,0.91392,0.29074,0.80907,0.7936,0.0005941,0.0005941,0.0005941
43,34517.6,0.31858,0.87834,0.83858,0.9518,0.86359,0.96003,0.90654,0.28456,0.80583,0.79177,0.0005842,0.0005842,0.0005842
44,34561.1,0.35011,0.81047,0.82806,0.98633,0.86903,0.96482,0.91461,0.27878,0.78052,0.78803,0.0005743,0.0005743,0.0005743
45,34601.3,0.36878,0.82851,0.85789,0.94481,0.95047,0.98321,0.93174,0.27279,0.79484,0.78509,0.0005644,0.0005644,0.0005644
46,34639.6,0.3514,0.79148,0.84979,0.94474,0.96362,0.98417,0.94412,0.27476,0.83048,0.78701,0.0005545,0.0005545,0.0005545
47,34689.3,0.34756,0.84192,0.84771,0.93824,0.95751,0.98249,0.93911,0.27546,0.82178,0.78944,0.0005446,0.0005446,0.0005446
48,34729,0.34162,0.78003,0.84294,0.92653,0.98873,0.98845,0.93938,0.27054,0.79906,0.78914,0.0005347,0.0005347,0.0005347
49,34764.5,0.31913,0.79488,0.83177,0.95024,0.95353,0.985,0.93917,0.26862,0.80399,0.78857,0.0005248,0.0005248,0.0005248
50,34799.1,0.31649,0.81222,0.83905,0.9211,0.98531,0.98042,0.93716,0.25667,0.8011,0.7857,0.0005149,0.0005149,0.0005149
51,34832,0.36144,0.82615,0.84636,0.92242,0.97521,0.98129,0.93714,0.2541,0.80251,0.78525,0.000505,0.000505,0.000505
52,34866.6,0.33772,0.75837,0.83512,0.93793,0.97618,0.98773,0.94438,0.26322,0.77059,0.78358,0.0004951,0.0004951,0.0004951
53,34899.3,0.34144,0.7513,0.83567,0.96287,0.97292,0.99205,0.95266,0.2608,0.7366,0.78219,0.0004852,0.0004852,0.0004852
54,34934.4,0.31387,0.78862,0.83279,0.97241,0.97957,0.99324,0.95362,0.25488,0.71848,0.77944,0.0004753,0.0004753,0.0004753
55,34967.8,0.29483,0.80122,0.84595,0.97855,0.98758,0.99473,0.95648,0.25404,0.69456,0.77862,0.0004654,0.0004654,0.0004654
56,35002.9,0.32797,0.72218,0.84216,0.98845,0.9866,0.99473,0.95948,0.25018,0.68112,0.7772,0.0004555,0.0004555,0.0004555
57,35037.9,0.33362,0.723,0.85167,0.9905,0.98028,0.9942,0.96101,0.24972,0.67429,0.77819,0.0004456,0.0004456,0.0004456
58,35072.9,0.27488,0.71125,0.83435,0.98093,0.97517,0.99312,0.9541,0.25025,0.6733,0.7787,0.0004357,0.0004357,0.0004357
59,35108.5,0.28589,0.76855,0.82269,0.9785,0.98446,0.99394,0.96059,0.24556,0.6714,0.77882,0.0004258,0.0004258,0.0004258
60,35143.6,0.32606,0.67681,0.83441,0.97963,0.98981,0.99471,0.96572,0.24112,0.66416,0.7785,0.0004159,0.0004159,0.0004159
61,35180.5,0.3175,0.76174,0.81389,0.98245,0.9864,0.99498,0.96851,0.22985,0.64969,0.77701,0.000406,0.000406,0.000406
62,35215.5,0.30015,0.6869,0.81101,0.97264,0.99392,0.99435,0.9663,0.22747,0.63348,0.77573,0.0003961,0.0003961,0.0003961
63,35253.4,0.27766,0.68801,0.8265,0.97096,0.99406,0.99406,0.96475,0.22513,0.63711,0.77525,0.0003862,0.0003862,0.0003862
64,35289.2,0.29029,0.75062,0.82168,0.96388,0.99498,0.99341,0.96854,0.22366,0.64647,0.77551,0.0003763,0.0003763,0.0003763
65,35327.8,0.29051,0.69334,0.83477,0.97242,0.98788,0.99249,0.96891,0.22471,0.65154,0.77567,0.0003664,0.0003664,0.0003664
