epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9487,1.48283,4.25129,1.49938,0.00245,0.30503,0.00472,0.00166,1.38679,4.34458,1.54785,3e-05,3e-05,3e-05
2,88.9181,1.4432,4.11466,1.46269,0.003,0.34744,0.00864,0.00363,0.95451,4.16982,1.22126,6.9307e-05,6.9307e-05,6.9307e-05
3,128.845,1.13173,3.85907,1.26119,0.0043,0.45123,0.04027,0.03084,0.70009,3.96202,1.01297,0.000107822,0.000107822,0.000107822
4,170.581,0.88834,3.5242,1.09194,0.00609,0.58175,0.08303,0.06628,0.56864,3.79965,0.89225,0.000145545,0.000145545,0.000145545
5,211.102,0.73661,3.13556,1.00773,0.0066,0.59272,0.09704,0.07693,0.56041,3.71526,0.86951,0.000182476,0.000182476,0.000182476
6,252.616,0.70789,2.82027,0.99831,0.00779,0.65018,0.10715,0.08727,0.55164,3.57435,0.85786,0.000218615,0.000218615,0.000218615
7,296.033,0.67756,2.58077,0.96754,0.76933,0.03728,0.15055,0.12996,0.52598,3.36795,0.85625,0.000253962,0.000253962,0.000253962
8,337.749,0.62023,2.34287,0.93959,0.84912,0.06878,0.20087,0.17893,0.51671,3.15608,0.86235,0.000288517,0.000288517,0.000288517
9,379.307,0.61598,2.08515,0.90776,0.83303,0.11637,0.28476,0.26018,0.52065,3.03468,0.85528,0.00032228,0.00032228,0.00032228
10,421.928,0.56273,2.00645,0.92509,0.68124,0.13919,0.2982,0.26189,0.54255,2.98536,0.85696,0.000355251,0.000355251,0.000355251
11,463.309,0.59753,2.07818,0.91788,0.75576,0.20477,0.33719,0.30012,0.49063,2.89304,0.85044,0.00038743,0.00038743,0.00038743
12,504.957,0.50732,1.76105,0.89798,0.73745,0.32992,0.39491,0.36014,0.46409,2.63016,0.84364,0.000418817,0.000418817,0.000418817
13,547.392,0.58501,1.83298,0.90442,0.76883,0.32841,0.41879,0.36888,0.48959,2.55459,0.83879,0.000449412,0.000449412,0.000449412
14,588.398,0.51284,1.58391,0.894,0.79799,0.32686,0.44486,0.38826,0.4811,2.51107,0.83391,0.000479215,0.000479215,0.000479215
15,631.097,0.48756,1.63887,0.88668,0.7202,0.34287,0.46038,0.41654,0.44504,2.58905,0.83201,0.000508226,0.000508226,0.000508226
16,673.301,0.48714,1.60024,0.89843,0.78498,0.34719,0.47356,0.43262,0.43768,2.55485,0.83028,0.000536445,0.000536445,0.000536445
17,714.264,0.48408,1.53969,0.88944,0.84356,0.32884,0.4981,0.45983,0.43454,2.37483,0.83114,0.000563872,0.000563872,0.000563872
18,756.567,0.48638,1.51433,0.87519,0.55862,0.50751,0.58135,0.51926,0.42535,1.97292,0.82001,0.000590507,0.000590507,0.000590507
19,798.673,0.43093,1.28092,0.86364,0.57963,0.61051,0.64184,0.57869,0.42648,1.88423,0.82336,0.00061635,0.00061635,0.00061635
20,839.473,0.43988,1.21329,0.88448,0.61601,0.6251,0.70164,0.6361,0.43167,1.8832,0.83167,0.000641401,0.000641401,0.000641401
21,881.511,0.43933,1.27503,0.87074,0.6708,0.71828,0.77363,0.69611,0.42296,1.84076,0.83357,0.00066566,0.00066566,0.00066566
22,923.798,0.48839,1.16396,0.87204,0.6921,0.7498,0.77752,0.71036,0.40617,1.75296,0.83327,0.000689127,0.000689127,0.000689127
23,964.843,0.43601,1.10768,0.85571,0.81267,0.72402,0.81499,0.74472,0.40129,1.57536,0.82822,0.000711802,0.000711802,0.000711802
24,1007.25,0.47162,1.08202,0.85113,0.80337,0.77443,0.85977,0.78582,0.40286,1.47299,0.82753,0.000733685,0.000733685,0.000733685
25,1049.71,0.40935,1.03012,0.84536,0.80368,0.76228,0.86391,0.78501,0.39795,1.46326,0.82209,0.000754776,0.000754776,0.000754776
26,1090.78,0.45108,1.10562,0.8635,0.79978,0.74657,0.85376,0.78244,0.39476,1.48146,0.82072,0.0007525,0.0007525,0.0007525
27,1133.22,0.42714,1.06106,0.85299,0.77398,0.76487,0.87192,0.80548,0.3934,1.43622,0.81758,0.0007426,0.0007426,0.0007426
28,1175.5,0.39247,0.96747,0.85999,0.82063,0.77224,0.87242,0.80564,0.37808,1.35259,0.81283,0.0007327,0.0007327,0.0007327
29,1216.98,0.41418,1.05378,0.86292,0.80898,0.8255,0.89369,0.82648,0.3658,1.27712,0.81091,0.0007228,0.0007228,0.0007228
30,1259.13,0.40772,0.98833,0.85398,0.86581,0.8566,0.92488,0.85328,0.3533,1.1469,0.80965,0.0007129,0.0007129,0.0007129
31,1301.35,0.41593,1.0083,0.8643,0.85041,0.90916,0.94102,0.87939,0.34913,1.05568,0.80879,0.000703,0.000703,0.000703
32,1342.63,0.38293,0.87799,0.82875,0.91775,0.89615,0.96319,0.89542,0.33854,0.98331,0.80357,0.0006931,0.0006931,0.0006931
33,1385.65,0.37078,0.99142,0.86061,0.92344,0.90296,0.97326,0.91618,0.32792,0.96179,0.79849,0.0006832,0.0006832,0.0006832
34,1428.23,0.39189,0.90683,0.86408,0.90952,0.94412,0.97389,0.9157,0.31635,0.93075,0.79474,0.0006733,0.0006733,0.0006733
35,1469.12,0.38805,0.8853,0.85544,0.9267,0.92172,0.97601,0.91848,0.31206,0.89858,0.79288,0.0006634,0.0006634,0.0006634
36,1512.02,0.39396,0.93933,0.8705,0.94991,0.89321,0.97541,0.9129,0.31884,0.91674,0.7953,0.0006535,0.0006535,0.0006535
37,1554.39,0.34496,0.83431,0.84682,0.90187,0.88521,0.95855,0.88541,0.33158,0.96921,0.7964,0.0006436,0.0006436,0.0006436
38,1595.41,0.37264,0.82319,0.84853,0.88158,0.88467,0.95952,0.89572,0.31807,0.96464,0.79662,0.0006337,0.0006337,0.0006337
39,1637.88,0.38483,0.84847,0.85864,0.89752,0.92103,0.9786,0.91895,0.31112,0.90281,0.79338,0.0006238,0.0006238,0.0006238
40,1680.51,0.3756,0.83625,0.85492,0.95625,0.94856,0.98142,0.92425,0.30849,0.8744,0.79021,0.0006139,0.0006139,0.0006139
41,1721.54,0.38383,0.87062,0.85039,0.95531,0.92057,0.9761,0.9169,0.30801,0.84798,0.79126,0.000604,0.000604,0.000604
42,1764.04,0.36257,0.77188,0.83511,0.94901,0.92252,0.9714,0.912,0.29733,0.8242,0.79136,0.0005941,0.0005941,0.0005941
43,1806.55,0.32085,0.76692,0.82906,0.89834,0.96776,0.97295,0.92074,0.29471,0.80709,0.79043,0.0005842,0.0005842,0.0005842
44,1848.21,0.3639,0.75538,0.82638,0.88487,0.96051,0.96893,0.92162,0.28873,0.79743,0.78742,0.0005743,0.0005743,0.0005743
45,1890.85,0.35341,0.77907,0.85428,0.90437,0.9387,0.97326,0.9192,0.28827,0.80405,0.78513,0.0005644,0.0005644,0.0005644
46,1933.25,0.33956,0.73475,0.84122,0.93269,0.93899,0.98195,0.93781,0.27669,0.80756,0.78264,0.0005545,0.0005545,0.0005545
47,1974.36,0.34089,0.7589,0.84299,0.96061,0.9735,0.99155,0.95502,0.2726,0.797,0.7819,0.0005446,0.0005446,0.0005446
48,2016.95,0.34049,0.71455,0.83063,0.99381,0.97894,0.993,0.95896,0.27346,0.77831,0.78208,0.0005347,0.0005347,0.0005347
49,2059.58,0.31733,0.73203,0.82253,0.97639,0.96987,0.99194,0.95693,0.26012,0.77848,0.77999,0.0005248,0.0005248,0.0005248
50,2101.21,0.30902,0.74073,0.83194,0.9706,0.97935,0.9912,0.95383,0.25339,0.77165,0.77825,0.0005149,0.0005149,0.0005149
51,2144.11,0.34864,0.76843,0.84344,0.97515,0.98561,0.99231,0.96152,0.25898,0.74788,0.77774,0.000505,0.000505,0.000505
52,2186.55,0.32051,0.69614,0.825,0.99351,0.98682,0.99239,0.96228,0.26762,0.72734,0.77704,0.0004951,0.0004951,0.0004951
53,2227.46,0.33384,0.70365,0.8301,0.98952,0.97166,0.99083,0.96044,0.25887,0.7194,0.7768,0.0004852,0.0004852,0.0004852
